"","access_clean","access_eletric","agro_land","water_total","co2_total","crop_prod","air_transport","fert_cons","food_prod","forest_area","gov_effective","land_area","livestock_prod","methane_total","nitrous_total","air_pollution","pop_density","reg_quality","renewables","fish_total","urban_pop","renew_water","sdi","ndgain","paris","continent"
"TZA",5.59999999999999,37.7,44.3776247459923,5.184,0.249877326981355,104.94,0.962933,8.98016530166428,108.47,52.1720478663355,-0.85467791557312,885800,123.39,43778.73923,26646.18699,24.74048013,67.5915319485211,-0.668204069137573,83.54,619825.66,34.5,1402.97948414749,0.569,39.803899215985,"Yes","Africa"
"THA",83.1,99.9,45.019475816712,57.307,3.84904375698898,102.49,2327.667095,112.36776547619,100.22,38.9692497406487,0.260645478963852,510890,101.28,74809.1613,19638.99461,27.40271356,139.57557008358,-0.0219450928270817,23.95,2490448.92,50.692,3148.46505562094,0.736,51.6387522460947,"Yes","Asia"
"TLS",12.85,90.6324844360352,22.9589778076664,1.172,0.482334951008952,92.16,NA,0.52932735426009,91.85,62.0376597175521,-0.858102381229401,14870,105.9,5123.325408,303.92411,15.65130893,86.1088096839274,-0.775254309177399,11.67,5593,30.947,6415.77335255592,NA,43.9406521336566,"Yes","Asia"
"TGO",9.8,52.4619178771973,70.2334988049274,0.223,0.296284380597868,109.57,14.624076,2.67603773584906,108.67,22.2877367163081,-0.972789764404297,54390,113.42,2808.90606,1757.190998,46.21037553,151.555322669608,-0.744945108890533,76.2,26526,42.248,1395.10722551508,0.555,41.2831941272102,"No","Africa"
"TON",82.9,98.4,48.6111111111111,NA,1.53881335099237,96.04,NA,15.5305,96.98,12.4305555555556,0.205689504742622,720,101.79,92.062022,51.948659,10.58622123,145.765277777778,-0.319078892469406,1.77,1302.61,23.107,NA,NA,40.7751512978567,"Yes","Oceania"
"TTO",100,100,10.5263157894737,0.3362,11.3130322937192,101.05,47.338148,360.3164,93.92,44.5633528265107,0.0881585031747818,5130,91.96,7573.846313,419.460586,21.97072547,296.287524366472,-0.192311719059944,0.43,12995.71,53.187,2526.39058393176,0.401,48.6695687183629,"Yes","Americas"
"TUN",99.8,100,62.4388516992791,3.793,2.57649522620126,106.28,13.092473,55.666527864259,104.15,4.51338825952626,-0.0353328697383404,155360,98.83,6705.826456,3341.790675,30.42981942,77.5573764160659,-0.385123878717422,12.19,153895.2,69.254,348.152600222718,0.792,52.4674973173711,"Yes","Africa"
"TUR",95.4,100,49.0053662149344,61.53358,4.82896105858795,109.98,6815.50975,125.96608784474,115.05,28.6687888985616,-0.0203610323369503,769630,124.45,49343.09693,34965.32807,26.03180162,107.297584553617,-0.0204177498817444,14.12,836550.96,75.63,2748.8682412959,0.703,55.9796111863456,"Yes","Asia"
"TKM",99.9,99.9,72.0064690485817,27.7081,10.2675361537537,129.47,16.55784,241.907216494845,111.39,8.78215904496414,-1.01762771606445,469930,109.95,146450.6815,6209.155827,26.19766251,13.1049730810972,-2.02918887138367,0.06,15140,52.048,228.142932765222,0.286,44.4438457894932,"No","Asia"
"UGA",0.800000000000001,41.3,71.8880909634949,0.637,0.138373161893107,122.71,0.055324647,3.36627246376812,118.7,11.8649012567325,-0.648771643638611,200520,107.67,20336.86425,11883.61975,35.21822646,214.188509874327,-0.414516240358353,91.62,706166.7,24.361,908.052046749313,0.586,35.2470413484309,"Yes","Africa"
"UKR",95.2,100,71.2996202968588,10.596,3.93365253612705,112.83,75.617661,65.0731988822743,109.39,16.7138419054194,-0.334168434143066,579400,98.9,33097.25686,27478.1106,14.53144476,76.6071850189852,-0.216642439365387,7.44,100334.34,69.473,1241.3767404254,0.754,53.1353477807992,"Yes","Europe"
"ARE",100,100,5.49704308645452,2.443,20.1533448325312,102.55,14765.5995814573,631.829458917836,114.48,4.46775556181357,1.38031601905823,71020,124.34,58152.42344,1921.149836,43.66702552,129.705111236271,0.968137919902802,0.67,65873,86.789,16.2837152968244,0.126,60.5041012011214,"Yes","Asia"
"GBR",100,100,72.4229988013062,8.419,5.17584247261224,101.09,5851.19,245.004665440953,103.58,13.1525647914686,1.44990789890289,241930,104.95,51502.79186,29218.81967,10.09284402,276.263080229819,1.61285722255707,11.39,852817.59,83.652,2169.47888234493,0.42,70.5061579976174,"Yes","Europe"
"USA",100,100,44.363367353855,444.3961117745,14.6733807134556,93.69,42498.262662,128.840691836021,99.65,33.8669264120375,1.45355904102325,9147420,109.31,784496.7542,263498.7814,7.663692516,35.8931756713915,1.33457458019257,10.42,5315021.71,82.459,8582.82948068402,0.163,67.4789319468392,"Yes","Americas"
"URY",100,99.9,80.7182036338704,3.66,1.98538155745128,97.46,NA,167.010726428195,101.5,11.4844017826534,0.643163442611694,175020,103.76,20757.06355,7949.108044,9.533862914,19.588669866301,0.61363160610199,59.34,68122.77,95.426,26892.9407197333,0.569,56.2408275561065,"Yes","Americas"
"UZB",83.5,99.9989929199219,58.0070592775022,58.904,3.50466269708326,95.7,70.49835,272.468739308293,105.23,8.31637366503615,-0.600062251091003,440555,111.6,54437.5601,16784.19272,34.78609557,76.2228325634711,-1.05532276630402,1.56,121717,50.433,486.594094462982,0.764,51.16308798144,"No","Asia"
"VUT",7.6,64.5021820068359,15.3404429860541,NA,0.548284516629216,110.91,2.10991073558386,0.493,104.89,36.2838392124692,-0.517501175403595,12190,83.4,379.68405,90.02069,12.88296752,24.9716160787531,-0.425862520933151,31.63,51049.63,25.394,32851.0794864719,0.654,40.3872368010316,"Yes","Oceania"
"VEN",95.9,99.8447799682617,24.3750354288306,22.6211,3.71059907013341,83.63,0.183573,47.1396692307692,82.12,52.4596111331557,-1.72234714031219,882050,81.91,127823.4067,12789.93729,21.74698878,32.8458511422255,-2.38258337974548,15.77,209936,88.24,27785.7520393275,0.696,40.5413797804492,"Yes","Americas"
"VNM",93,99.4,39.5241027473527,81.862,3.56784836932601,105.37,1022.84225,427.779688974057,104.83,46.4768416451573,0.0279832296073437,313429,107.75,80654.40212,24699.04861,20.3898157,305.577071681306,-0.375260800123215,20.65,7941250.31,36.628,3752.68661331007,0.736,47.1046105497772,"Yes","Asia"
"YEM",61.4,72.7765731811523,44.4191904843078,3.565,0.354864476911382,104.67,0,10.5729188255613,104.33,1.03983180862549,-2.32937264442444,527970,105.25,10773.8968,3477.287271,44.46696713,59.7509157717295,-1.70266783237457,3.01,131315.73,37.273,66.5679959904511,0.506,35.0647930224937,"No","Asia"
"ZMB",11.5,43,32.0679589448338,1.572,0.414336363523101,109.64,79.335,67.5756,112.74,60.5365151535533,-0.741947412490845,743390,112.89,15729.51107,12623.0162,25.92546019,24.7252142213374,-0.613412022590637,81.48,135943,44.072,4363.32528258108,0.629,42.2282592172843,"No","Africa"
"ZWE",30.2,46.6820945739746,41.8766963939511,3.771381651,0.663338328142275,103.85,0,33.2,105.55,45.2130024557322,-1.31977355480194,386850,106.67,12457.22536,5195.279439,20.83469969,39.6913739175391,-1.48651528358459,81.52,46925.27,32.21,798.457375141065,0.615,35.1723200618998,"Yes","Africa"
